LAT,LON,DEP,MAG,EPI-DIS,HYP-DIS,CORD-N,CORD-E,PGA,datetime
43.044,13.063,9.9,2.2,3.4009,11.018,3.231,1.061,0.000571,29-10-2016 07:25
42.988,13.069,7.8,1.5,3.3129,9.0111,-2.999,1.407,0.000181,29-10-2016 07:27
42.979,13.103,11.9,1.9,5.8116,13.7668,-4.062,4.156,0.000203,29-10-2016 07:31
42.798,13.083,10.7,1.4,24.2142,26.7126,-24.126,2.068,1.2e-05,29-10-2016 07:34
42.949,13.146,9.8,1.3,10.6501,14.8718,-7.472,7.589,4.4e-05,29-10-2016 07:36
42.999,13.161,7.8,1.8,9.144,12.4031,-1.946,8.935,0.000201,29-10-2016 07:40
42.858,13.059,9.9,1.9,17.4196,20.3291,-17.418,0.258,8.2e-05,29-10-2016 07:42
42.913,13.032,10.2,1.8,11.4022,15.6913,-11.258,-1.805,0.000122,29-10-2016 07:43
42.844,13.091,7.3,1.7,19.2425,20.7935,-19.032,2.838,4.9e-05,29-10-2016 07:46
42.861,13.169,9.8,1.3,19.6065,22.1847,-17.286,9.253,1.5e-05,29-10-2016 07:47
43.018,13.137,7.4,1.7,7.028,10.6336,0.207,7.025,0.000214,29-10-2016 07:49
42.829,13.141,10.0,1.6,21.9004,24.3221,-20.789,6.887,2.5e-05,29-10-2016 07:52
42.793,13.111,13.6,1.1,25.1115,28.8385,-24.733,4.345,4e-06,29-10-2016 07:52
42.69,13.229,12.4,1.1,38.8943,41.003,-36.38,13.756,1e-06,29-10-2016 07:54
42.728,13.173,15.4,1.9,33.3731,37.0017,-32.063,9.26,1.5e-05,29-10-2016 07:57
42.87,13.173,8.5,2.6,18.912,20.9788,-16.293,9.601,0.000342,29-10-2016 07:59
42.895,13.155,8.2,1.8,15.7782,18.0566,-13.485,8.192,8.8e-05,29-10-2016 08:00
42.914,13.029,10.9,2.1,11.3281,16.1282,-11.142,-2.047,0.000221,29-10-2016 08:00
42.824,13.082,9.3,1.6,21.3354,23.512,-21.237,2.052,2.7e-05,29-10-2016 08:01
43.003,13.146,9.8,1.6,7.8612,13.0208,-1.475,7.722,0.000118,29-10-2016 08:02
42.856,13.157,7.4,1.8,19.6411,21.2003,-17.82,8.26,5.8e-05,29-10-2016 08:02
42.984,13.046,10.1,1.5,3.4337,11.2184,-3.4,-0.479,0.000126,29-10-2016 08:03
43.062,13.077,9.8,1.5,5.6685,11.8269,5.204,2.247,0.000114,29-10-2016 08:04
43.034,12.992,8.6,1.5,5.2577,10.579,2.257,-4.749,0.00014,29-10-2016 08:06
43.003,13.118,6.8,1.5,5.6226,9.2778,-1.424,5.439,0.000173,29-10-2016 08:07
43.046,13.09,8.2,2.0,4.7163,9.9665,3.403,3.266,0.000447,29-10-2016 08:11
43.016,13.122,6.7,1.6,5.7976,9.3065,0.012,5.798,0.000214,29-10-2016 08:13
42.888,13.155,8.4,1.5,16.4391,18.7319,-14.262,8.175,4e-05,29-10-2016 08:15
42.903,13.147,9.0,1.6,14.6778,17.5276,-12.582,7.558,6e-05,29-10-2016 08:16
42.885,12.699,8.5,2.0,32.1299,33.3883,-13.678,-29.073,2.6e-05,29-10-2016 08:17
43.021,13.076,9.1,2.1,2.1624,9.9186,0.652,2.062,0.000552,29-10-2016 08:21
42.87,13.15,9.8,1.5,17.9938,20.7731,-16.252,7.723,3e-05,29-10-2016 08:23
42.907,13.062,10.4,1.6,11.9981,16.2639,-11.982,0.629,7.2e-05,29-10-2016 08:26
42.872,13.041,9.9,1.2,15.8725,19.0201,-15.829,-1.176,1.9e-05,29-10-2016 08:26
42.945,13.138,9.0,1.6,10.5079,14.2194,-7.902,6.927,9.8e-05,29-10-2016 08:27
42.841,13.102,9.0,1.4,19.741,21.9428,-19.386,3.729,2e-05,29-10-2016 08:27
42.879,13.119,9.7,1.8,16.0659,19.0733,-15.197,5.213,7.7e-05,29-10-2016 08:29
42.779,13.187,8.5,1.2,28.4439,29.858,-26.424,10.528,5e-06,29-10-2016 08:33
42.865,13.162,9.2,1.7,18.9406,21.3166,-16.829,8.691,4.5e-05,29-10-2016 08:35
43.022,13.075,8.9,2.3,2.1253,9.7153,0.765,1.983,0.000844,29-10-2016 08:39
43.003,13.134,8.1,1.9,6.8982,11.0873,-1.453,6.743,0.000305,29-10-2016 08:42
42.999,13.107,9.6,1.9,4.8949,11.2957,-1.848,4.533,0.000296,29-10-2016 08:44
42.969,13.121,9.0,2.1,7.6452,12.2567,-5.205,5.599,0.000387,29-10-2016 08:46
42.991,13.058,9.8,3.5,2.6956,10.7243,-2.645,0.518,0.006047,29-10-2016 08:48
43.04,13.097,7.5,2.3,4.692,9.3435,2.724,3.821,0.000892,29-10-2016 08:52
42.956,13.078,9.5,3.2,6.8851,12.207,-6.57,2.059,0.003071,29-10-2016 08:58
42.909,13.154,9.1,2.3,14.4436,17.3874,-11.928,8.144,0.000285,29-10-2016 09:00
43.027,13.109,3.7,1.5,4.9288,6.5278,1.258,4.766,0.000267,29-10-2016 09:04
43.06,13.088,6.9,1.8,5.8705,9.5086,4.961,3.138,0.000317,29-10-2016 09:06
42.862,13.068,9.4,1.8,17.02,19.7302,-16.99,1.004,7e-05,29-10-2016 09:06
42.991,13.155,8.4,1.9,8.8865,12.6337,-2.824,8.426,0.00024,29-10-2016 09:07
42.897,13.17,10.1,1.7,16.2905,19.4793,-13.29,9.422,5.8e-05,29-10-2016 09:11
42.868,13.093,10.5,1.4,16.6544,20.0034,-16.371,3.061,2.6e-05,29-10-2016 09:13
42.847,13.144,10.0,2.1,20.1191,22.7314,-18.796,7.176,9.6e-05,29-10-2016 09:17
42.966,13.043,9.0,1.8,5.4481,11.0208,-5.393,-0.77,0.00025,29-10-2016 09:18
43.035,13.127,8.1,1.8,6.5996,10.904,2.113,6.252,0.000255,29-10-2016 09:20
43.024,13.093,4.6,1.8,3.5838,6.2989,0.954,3.454,0.000516,29-10-2016 09:24
43.026,13.074,8.9,1.8,2.263,9.7464,1.211,1.911,0.000306,29-10-2016 09:26
42.861,13.055,9.8,3.1,17.077,19.9842,-17.077,-0.061,0.001018,29-10-2016 09:30
42.984,13.049,10.5,1.6,3.4139,11.594,-3.406,-0.234,0.000148,29-10-2016 09:32
42.894,13.169,8.7,1.6,16.5115,18.9407,-13.621,9.333,4.9e-05,29-10-2016 09:32
42.871,13.145,9.1,1.8,17.714,20.1863,-16.132,7.317,6.6e-05,29-10-2016 09:33
43.011,13.14,8.0,1.6,7.275,11.2491,-0.576,7.252,0.000156,29-10-2016 09:33
42.878,13.169,8.3,1.5,17.9853,20.0581,-15.398,9.294,3.3e-05,29-10-2016 09:35
42.727,13.175,10.9,1.6,33.5282,35.4391,-32.177,9.421,8e-06,29-10-2016 09:41
43.024,13.083,8.5,1.3,2.8131,9.5058,0.973,2.64,0.000107,29-10-2016 09:42
43.037,13.062,9.5,1.5,2.6373,10.4193,2.456,0.962,0.000143,29-10-2016 09:44
42.926,13.057,10.4,1.8,9.8658,14.7613,-9.862,0.269,0.00014,29-10-2016 09:45
43.046,13.078,9.7,1.4,4.1191,11.0746,3.425,2.288,0.000103,29-10-2016 09:51
42.864,13.128,9.3,1.3,17.8839,20.4316,-16.879,5.911,1.9e-05,29-10-2016 09:54
42.753,13.207,9.2,1.1,31.7438,33.2162,-29.346,12.102,3e-06,29-10-2016 09:56
42.842,13.15,10.3,1.4,20.8199,23.4914,-19.362,7.654,1.7e-05,29-10-2016 09:57
42.885,13.07,9.6,2.2,14.4918,17.71,-14.44,1.226,0.000221,29-10-2016 10:04
42.887,13.159,8.1,2.2,16.7044,18.8249,-14.381,8.499,0.000192,29-10-2016 10:04
43.019,13.116,7.0,1.8,5.328,9.2652,0.356,5.316,0.00033,29-10-2016 10:07
42.871,13.05,11.1,2.0,15.9631,19.7799,-15.957,-0.444,0.00011,29-10-2016 10:08
42.847,13.076,7.3,1.2,18.7412,20.3304,-18.671,1.619,1.5e-05,29-10-2016 10:11
42.848,13.158,9.2,3.6,20.4775,22.693,-18.71,8.323,0.001922,29-10-2016 10:16
42.843,13.25,9.3,1.5,25.058,26.9355,-19.425,15.829,1.4e-05,29-10-2016 10:20
42.834,13.065,9.3,2.5,20.106,22.4023,-20.094,0.687,0.000237,29-10-2016 10:22
42.857,13.168,9.8,2.6,19.9555,22.4937,-17.728,9.162,0.00029,29-10-2016 10:22
42.836,13.062,9.6,2.4,19.8715,22.3273,-19.866,0.447,0.000194,29-10-2016 10:23
42.893,13.057,8.2,1.7,13.5282,16.1277,-13.527,0.185,9.2e-05,29-10-2016 10:33
42.698,13.111,11.9,2.0,35.5211,37.6496,-35.283,4.109,1.8e-05,29-10-2016 10:37
42.907,13.164,8.7,1.9,15.1089,17.7312,-12.168,8.956,0.000115,29-10-2016 10:39
42.878,13.18,8.9,1.9,18.4819,20.7714,-15.417,10.192,7.7e-05,29-10-2016 10:41
43.044,13.1,6.9,1.8,5.1581,9.0861,3.162,4.075,0.000339,29-10-2016 10:42
43.038,13.125,12.0,1.5,6.5705,14.1925,2.45,6.097,7.8e-05,29-10-2016 10:44
42.907,13.155,8.8,2.2,14.672,17.4141,-12.152,8.221,0.00023,29-10-2016 10:46
42.767,13.168,10.8,1.6,29.1301,31.274,-27.723,8.944,1.2e-05,29-10-2016 10:49
42.838,13.056,10.9,1.6,19.6331,22.7431,-19.633,-0.038,3e-05,29-10-2016 10:52
43.035,13.117,5.6,1.3,5.8403,8.503,2.132,5.437,0.000126,29-10-2016 10:53
42.984,13.152,8.6,1.4,8.921,12.8006,-3.596,8.164,7.8e-05,29-10-2016 10:55
42.852,13.123,9.2,2.0,19.0074,21.3759,-18.203,5.473,9e-05,29-10-2016 10:58
42.861,13.151,9.5,1.3,18.9276,21.4443,-17.254,7.782,1.7e-05,29-10-2016 10:59
42.859,13.1,6.7,1.3,17.754,19.1886,-17.383,3.611,2.3e-05,29-10-2016 10:59
43.06,13.064,10.7,2.0,5.1442,12.3976,5.006,1.184,0.000308,29-10-2016 11:04
43.015,13.073,8.9,2.6,1.8018,9.6497,-0.008,1.802,0.001503,29-10-2016 11:06
42.87,13.057,10.5,2.1,16.0817,19.5292,-16.081,0.126,0.000141,29-10-2016 11:07
42.985,13.053,9.6,1.5,3.3037,10.7027,-3.302,0.095,0.000137,29-10-2016 11:08
42.816,13.133,10.9,1.4,23.0677,25.7664,-22.219,6.201,1.3e-05,29-10-2016 11:09
43.028,13.091,9.7,2.4,3.5869,10.8878,1.402,3.302,0.000862,29-10-2016 11:14
42.878,13.167,7.5,1.1,17.8984,19.6377,-15.394,9.131,1.3e-05,29-10-2016 11:15
