LAT,LON,DEP,MAG,EPI-DIS,HYP-DIS,CORD-N,CORD-E,PGA,datetime
43.053,13.04,9.6,1.5,4.36,11.0744,4.295,-0.748,0.000129,17-01-2017 20:48
42.987,13.019,9.6,2.2,4.0704,10.9636,-3.048,-2.698,0.000575,17-01-2017 20:59
43.387,12.744,14.3,1.5,48.2936,50.534,41.953,-23.921,2e-06,17-01-2017 21:04
42.983,13.025,9.7,1.9,4.0671,11.0553,-3.415,-2.209,0.000307,17-01-2017 21:16
42.949,13.031,10.0,1.5,7.5145,12.9771,-7.291,-1.818,9.5e-05,17-01-2017 21:26
43.091,13.028,11.7,1.2,8.6537,15.0228,8.495,-1.651,3.4e-05,17-01-2017 22:19
42.749,13.194,10.2,1.9,31.7051,33.4877,-29.734,11.005,2e-05,17-01-2017 22:33
42.986,13.156,9.8,2.0,9.1397,13.8303,-3.414,8.478,0.000248,17-01-2017 22:39
42.866,13.137,8.4,2.8,17.9297,20.0528,-16.64,6.676,0.000568,17-01-2017 22:52
43.019,13.11,9.4,2.1,4.8271,11.0861,0.39,4.811,0.000462,17-01-2017 22:55
42.79,13.304,15.5,1.6,32.4168,36.1858,-25.434,20.098,8e-06,17-01-2017 23:11
42.796,13.11,10.4,1.4,24.7857,27.1089,-24.419,4.246,1.1e-05,17-01-2017 23:38
42.913,13.047,10.4,1.3,11.2453,15.7168,-11.232,-0.538,3.9e-05,17-01-2017 23:50
42.609,13.253,10.9,1.6,47.985,49.3392,-45.394,15.553,3e-06,18-01-2017 01:10
43.048,13.046,10.0,1.2,3.7181,11.2143,3.707,-0.289,6.4e-05,18-01-2017 01:42
42.82,13.036,10.6,1.6,21.6832,24.3958,-21.617,-1.695,2.5e-05,18-01-2017 01:43
43.074,13.051,7.5,1.3,6.6209,10.4462,6.618,0.186,9.1e-05,18-01-2017 02:02
42.771,13.055,10.6,1.6,27.0397,29.2598,-27.038,-0.315,1.5e-05,18-01-2017 02:06
42.934,13.175,11.9,1.3,13.5117,18.3934,-9.157,9.936,2.6e-05,18-01-2017 02:18
43.052,13.107,10.4,1.6,6.1669,12.5933,4.061,4.641,0.000126,18-01-2017 02:20
42.794,13.197,8.9,2.4,27.2269,28.8301,-24.753,11.341,0.0001,18-01-2017 02:22
42.948,13.068,11.2,1.6,7.5614,13.998,-7.462,1.223,0.000101,18-01-2017 02:50
43.08,13.075,10.2,1.8,7.4936,13.1287,7.172,2.17,0.00018,18-01-2017 03:02
42.58,13.234,10.6,1.7,50.5925,51.8131,-48.638,13.926,3e-06,18-01-2017 03:06
42.971,13.123,10.7,1.0,7.6349,13.6209,-4.955,5.809,2.6e-05,18-01-2017 03:07
42.832,13.151,9.1,1.1,21.9001,23.9441,-20.507,7.686,7e-06,18-01-2017 03:09
43.424,12.473,7.1,1.1,65.3897,65.8392,46.747,-45.722,0.0,18-01-2017 03:44
42.814,13.117,10.8,1.9,22.96,25.6255,-22.434,4.887,4.4e-05,18-01-2017 03:57
42.677,13.306,9.3,2.4,42.9167,44.0393,-37.975,19.994,3.1e-05,18-01-2017 04:35
42.988,13.02,9.5,2.3,3.8811,10.8014,-2.907,-2.572,0.000719,18-01-2017 05:04
42.767,13.197,9.8,1.9,30.0325,31.7757,-27.829,11.291,2.4e-05,18-01-2017 05:07
42.793,12.854,10.2,2.1,29.372,31.2878,-24.208,-16.633,4e-05,18-01-2017 05:08
42.411,13.292,9.7,1.3,69.8978,70.6497,-67.468,18.268,0.0,18-01-2017 05:28
42.982,13.023,9.9,1.9,4.2991,11.3275,-3.578,-2.384,0.000294,18-01-2017 05:36
43.063,13.066,9.6,0.9,5.4958,11.5688,5.337,1.313,2.9e-05,18-01-2017 06:07
42.416,13.286,9.8,1.9,69.2085,69.9826,-66.871,17.835,2e-06,18-01-2017 06:19
42.678,13.148,10.4,2.3,38.2582,39.8026,-37.603,7.049,3.2e-05,18-01-2017 06:35
42.978,13.033,9.9,1.0,4.3617,11.3514,-4.075,-1.555,3.9e-05,18-01-2017 06:38
42.988,13.023,10.0,1.6,3.7479,11.2242,-2.912,-2.36,0.000157,18-01-2017 06:51
