animal.id,sex,DT,difft,stepl,vel
2,m,9/15/2017 16:04,19.03333333,266.0829182,13.97983808
2,m,9/15/2017 20:01,3.95,2.215823148,0.560967886
2,m,9/15/2017 23:02,3.016666667,107.6496167,35.68495581
2,m,9/16/2017 7:03,8.016666667,28.56766686,3.563534328
2,m,9/16/2017 11:01,3.966666667,281.5711146,70.9843146
2,m,9/16/2017 15:02,4.016666667,114.2707383,28.44914647
2,m,9/16/2017 19:01,3.983333333,274.5691828,68.92950197
2,m,9/16/2017 23:02,4.016666667,16.2958577,4.057060009
2,m,9/17/2017 2:01,2.983333333,18.11913832,6.073454186
2,m,9/17/2017 6:01,4,40.21096735,10.05274184
2,m,9/17/2017 10:01,4,247.0721765,61.76804412
2,m,9/17/2017 14:01,4,38.97226987,9.743067468
2,m,9/17/2017 18:01,4,25.45452406,6.363631015
2,m,9/17/2017 22:01,4,40.69971581,10.17492895
2,m,9/18/2017 1:01,3,31.02872465,10.34290822
2,m,9/18/2017 13:02,12.01666667,448.0467767,37.28544605
2,m,9/18/2017 17:01,3.983333333,212.4891352,53.34455277
2,m,9/18/2017 21:02,4.016666667,68.24042515,16.98931747
2,m,9/19/2017 0:02,3,65.40437344,21.80145781
2,m,9/19/2017 4:01,3.983333333,113.2708646,28.43620032
2,m,9/19/2017 8:02,4.016666667,70.15176107,17.46516873
2,m,9/19/2017 12:02,4,67.4300821,16.85752053
2,m,9/19/2017 16:01,3.983333333,46.36213125,11.63902877
2,m,9/19/2017 20:01,4,37.72594181,9.431485453
2,m,9/19/2017 23:02,3.016666667,39.40099312,13.06110269
2,m,9/20/2017 3:01,3.983333333,35.6280273,8.944274636
2,m,9/20/2017 7:02,4.016666667,6.941501139,1.728174557
2,m,9/20/2017 11:02,4,200.2053587,50.05133966
2,m,9/20/2017 15:02,4,184.3723332,46.09308329
2,m,9/20/2017 23:02,8,555.8174582,69.47718227
2,m,9/21/2017 10:03,11.01666667,390.4909881,35.44547547
2,m,9/21/2017 14:02,3.983333333,58.96622977,14.8032376
2,m,9/21/2017 18:02,4,183.979136,45.99478401
2,m,9/21/2017 22:01,3.983333333,216.142931,54.26182367
2,m,9/22/2017 1:01,3,25.59257105,8.530857015
2,m,9/22/2017 5:02,4.016666667,37.64679649,9.372646429
2,m,9/22/2017 9:02,4,159.8889111,39.97222777
2,m,9/22/2017 13:01,3.983333333,123.5547014,31.01791666
2,m,9/22/2017 21:02,8.016666667,192.8977968,24.06209524
2,m,9/23/2017 0:01,2.983333333,60.447919,20.26187229
2,m,9/23/2017 4:02,4.016666667,42.85314589,10.668833
2,m,9/23/2017 8:01,3.983333333,41.79431045,10.49229551
2,m,9/23/2017 12:02,4.016666667,122.6870209,30.54448654
2,m,9/23/2017 16:01,3.983333333,91.57082457,22.98849152
2,m,9/23/2017 20:01,4,144.1072524,36.02681311
2,m,9/23/2017 23:01,3,22.01602814,7.338676045
2,m,9/24/2017 3:01,4,3.470750197,0.867687549
2,m,9/24/2017 11:03,8.033333333,141.8266929,17.65477505
2,m,9/24/2017 15:02,3.983333333,211.6867337,53.14311307
2,m,9/24/2017 19:01,3.983333333,97.3383463,24.43640493
2,m,9/24/2017 23:01,4,12.18075809,3.045189522
2,m,9/25/2017 2:02,3.016666667,66.26181956,21.96524405
2,m,9/25/2017 6:01,3.983333333,22.1807504,5.568389222
2,m,9/25/2017 10:02,4.016666667,290.1795608,72.24387405
2,m,9/25/2017 14:01,3.983333333,218.7065755,54.90541645
2,m,9/25/2017 18:01,4,195.5052277,48.87630692
2,m,9/25/2017 22:01,4,151.4985195,37.87462987
3,f,8/27/2017 3:01,4,46.51944,11.62986
3,f,8/27/2017 7:01,4,121.1517576,30.28793941
3,f,8/27/2017 11:01,4,47.81375434,11.95343859
3,f,8/27/2017 15:01,4,229.4749427,57.36873567
3,f,8/27/2017 19:01,4,144.8085505,36.20213764
3,f,8/27/2017 23:01,4,32.29391733,8.073479333
3,f,8/28/2017 2:01,3,6.002418612,2.000806204
3,f,8/28/2017 10:01,8,498.5852461,62.32315576
